llhd,beta,alpha
-4895.41658951867,26.3631578947368,9.52631578947368
-4922.3295749505,26.3631578947368,10.5736842105263
-4949.581914287321,26.3631578947368,11.6210526315789
-4976.98594711617,26.3631578947368,12.6684210526316
-5004.398673396599,26.3631578947368,13.715789473684199
-5031.71156864825,26.3631578947368,14.7631578947368
-5058.842677325139,26.3631578947368,15.810526315789499
-5085.73052699895,26.3631578947368,16.857894736842102
-5112.32946122961,26.3631578947368,17.905263157894698
-5138.606061607029,26.3631578947368,18.952631578947397
-5164.53639986145,26.3631578947368,20.0
-4746.76522562839,28.989473684210502,0.1
-4745.53780982156,28.989473684210502,1.14736842105263
-4753.69396554462,28.989473684210502,2.19473684210526
-4767.83516254433,28.989473684210502,3.2421052631578897
-4786.129516050921,28.989473684210502,4.28947368421053
-4807.412149894621,28.989473684210502,5.33684210526316
-4830.86624671276,28.989473684210502,6.3842105263157904
-4855.881087126811,28.989473684210502,7.43157894736842
-4881.986063284629,28.989473684210502,8.47894736842105
-4908.81644083912,28.989473684210502,9.52631578947368
-4936.0907664172,28.989473684210502,10.5736842105263
-4963.5932216262,28.989473684210502,11.6210526315789
-4991.15926354219,28.989473684210502,12.6684210526316
-5018.6640831389295,28.989473684210502,13.715789473684199
-5046.013513211939,28.989473684210502,14.7631578947368
-5073.13697260775,28.989473684210502,15.810526315789499
-5099.982037870171,28.989473684210502,16.857894736842102
-5126.510282433111,28.989473684210502,17.905263157894698
-5152.69408856664,28.989473684210502,18.952631578947397
-5178.5142004051895,28.989473684210502,20.0
-4745.56167073149,31.615789473684202,0.1
-4748.37193507996,31.615789473684202,1.14736842105263
-4759.47942766253,31.615789473684202,2.19473684210526
-4775.8481126827,31.615789473684202,3.2421052631578897
-4795.84066100168,31.615789473684202,4.28947368421053
-4818.41964796049,31.615789473684202,5.33684210526316
-4842.85853477621,31.615789473684202,6.3842105263157904
-4868.61394287457,31.615789473684202,7.43157894736842
-4895.267212277079,31.615789473684202,8.47894736842105
-4922.49426851499,31.615789473684202,9.52631578947368
-4950.04559501815,31.615789473684202,10.5736842105263
-4977.73046399596,31.615789473684202,11.6210526315789
-5005.40405565522,31.615789473684202,12.6684210526316
-5032.95709368867,31.615789473684202,13.715789473684199
-5060.30768039604,31.615789473684202,14.7631578947368
-5087.39496294172,31.615789473684202,15.810526315789499
-5114.17426312383,31.615789473684202,16.857894736842102
-5140.61334665319,31.615789473684202,17.905263157894698
-5166.689566569749,31.615789473684202,18.952631578947397
-5192.38767234139,31.615789473684202,20.0
-4746.9572720118895,34.242105263157896,0.1
-4753.1983805463,34.242105263157896,1.14736842105263
-4766.8063914143895,34.242105263157896,2.19473684210526
-4785.05363419335,34.242105263157896,3.2421052631578897
-4806.47090851775,34.242105263157896,4.28947368421053
-4830.13040623774,34.242105263157896,5.33684210526316
-4855.38293969776,34.242105263157896,6.3842105263157904
-4881.74278550432,34.242105263157896,7.43157894736842
-4908.83579166264,34.242105263157896,8.47894736842105
-4936.37275143239,34.242105263157896,9.52631578947368
-4964.13155619407,34.242105263157896,10.5736842105263
-4991.94302507471,34.242105263157896,11.6210526315789
-5019.67928665186,34.242105263157896,12.6684210526316
-5047.24442052231,34.242105263157896,13.715789473684199
-5074.56708536937,34.242105263157896,14.7631578947368
-5101.59480296525,34.242105263157896,15.810526315789499
-5128.289565688379,34.242105263157896,16.857894736842102
-5154.62447417938,34.242105263157896,17.905263157894698
-5180.58116487762,34.242105263157896,18.952631578947397
-5206.14783879485,34.242105263157896,20.0
-4750.4774204674295,36.868421052631604,0.1
-4759.64614072864,36.868421052631604,1.14736842105263
-4775.3808850307105,36.868421052631604,2.19473684210526
