Date,EnergyConsumption,Energy Source
2019,1549.72998,7 Gas
2019,1231.3167720000001,6 Coal
2019,2262.0361329999996,8 Oil
2020,8.066415787,1 Geo Biomass
2020,42.1750679,3 Solar
2020,55.9475708,4 Wind
2020,384.4180298,5 Hydro
2020,35.15513611,2 Nuclear
2020,1535.9724119999998,7 Gas
2020,1157.901123,6 Coal
2020,2011.0526120000002,8 Oil
2021,8.026316643,1 Geo Biomass
2021,43.215038299999996,3 Solar
2021,63.88870239,4 Wind
2021,401.4471436,5 Hydro
2021,26.17469978,2 Nuclear
2021,1643.815063,7 Gas
2021,1168.740601,6 Coal
2021,2183.5419920000004,8 Oil
