sample_id,metabolite,flux
Healthy7,ca2_m,0.0022047074
Healthy7,cu2_m,0.0022047077
Healthy7,mn2_m,0.002204707
Healthy7,cobalt2_m,0.0022047118
Healthy7,mg2_m,0.002204699
Healthy7,pnto_R_m,5.2836e-06
Healthy7,12dgr180_m,6.172500000000001e-05
Healthy7,pydam_m,1.71334e-05
Healthy7,spmd_m,0.0006565687
Healthy7,thm_m,0.0006424554
Healthy7,pheme_m,0.0006400211
Healthy7,sheme_m,0.0005707586
Healthy7,ocdcea_m,1e-06
Healthy7,q8_m,1e-06
Healthy7,2dmmq8_m,1e-06
Healthy7,4abz_m,1e-06
Healthy7,indole_m,1e-06
Healthy7,gthox_m,1e-06
Healthy7,thymd_m,1e-06
Healthy7,amylose300_m,1e-06
Healthy7,galmannan_m,1e-06
Healthy7,xyluglc_m,1e-06
Healthy7,starch1200_m,1e-06
Healthy7,adocbl_m,1e-06
Healthy7,xyl_D_m,1e-06
Healthy7,mqn7_m,1e-06
Healthy7,pydx_m,1e-06
Healthy7,pydxn_m,1e-06
Healthy7,ncam_m,1e-06
Healthy7,no2_m,1e-06
Healthy7,gly_m,1e-06
Healthy7,phe_L_m,1e-06
Healthy7,thr_L_m,1e-06
Healthy7,ser_L_m,1e-06
Healthy7,ala_D_m,1e-06
Healthy7,ala_L_m,1e-06
Healthy7,asp_L_m,1e-06
Healthy7,cys_L_m,1e-06
Cancer5,glyc3p_m,0.058538148000000005
Cancer5,cytd_m,0.0464914188
Cancer5,dcyt_m,0.057257624300000004
Cancer5,cgly_m,0.1
Cancer5,amp_m,0.0999999963
Cancer5,nmn_m,0.1000000003
Cancer5,26dap_M_m,0.0999999976
Cancer5,orn_m,0.10000000490000001
Cancer5,csn_m,7.32928e-05
Cancer5,acnam_m,0.09993852900000001
Cancer5,gam_m,0.099625348
Cancer5,acgam_m,0.0998767141
Cancer5,acmana_m,0.09987671490000001
Cancer5,dgsn_m,0.015181473300000001
Cancer5,gsn_m,0.0132172034
Cancer5,metsox_S_L_m,0.0776097434
Cancer5,adn_m,0.0829711501
Cancer5,dad_2_m,0.0853178332
Cancer5,ptrc_m,0.000264427
Cancer5,uri_m,1e-06
Cancer5,pi_m,0.0001220694
Cancer5,asn_L_m,0.022500000000000003
Cancer5,lys_L_m,0.015
Cancer5,gln_L_m,0.018000000000000002
Cancer5,arg_L_m,0.0150000023
Cancer5,his_L_m,0.014999998700000001
Cancer5,ade_m,7.350660000000001e-05
Cancer5,gua_m,7.291760000000001e-05
Cancer5,tyr_L_m,0.0419346421
Cancer5,ura_m,1e-06
Cancer5,ile_L_m,0.01459608
Cancer5,leu_L_m,0.0145856035
Cancer5,trp_L_m,0.0081819999
Cancer5,val_L_m,0.005267153
Cancer5,glu_L_m,0.0056346492
Cancer5,met_L_m,0.007789318700000001
Cancer5,pro_L_m,0.006507766900000001
Cancer5,fol_m,0.0007996555
Cancer5,fe3_m,0.0018625014
Cancer5,fe2_m,0.0013458160000000001
Cancer5,k_m,0.0016017928000000002
Cancer5,cl_m,0.0016019006
Cancer5,zn2_m,0.0016018869000000002
Cancer5,ca2_m,0.0016018733
Cancer5,cu2_m,0.0016018695
Cancer5,mn2_m,0.0016018697000000001
Cancer5,cobalt2_m,0.0016018441
Cancer5,mg2_m,0.0016018802
Cancer5,pnto_R_m,0.0006511405
Cancer5,12dgr180_m,4.1984e-06
Cancer5,pydam_m,0.0009580631
Cancer5,spmd_m,0.0003807849
Cancer5,thm_m,0.0003772844
Cancer5,pheme_m,0.00035965190000000004
Cancer5,sheme_m,0.00035190380000000004
Cancer5,ocdcea_m,1e-06
Cancer5,q8_m,1e-06
Cancer5,2dmmq8_m,1e-06
Cancer5,4abz_m,0.000193873
Cancer5,indole_m,3.4623900000000006e-05
Cancer5,gthox_m,5.7180600000000006e-05
Cancer5,thymd_m,1e-06
Cancer5,amylose300_m,1e-06
Cancer5,galmannan_m,1.4100000000000002e-05
Cancer5,xyluglc_m,1.3100000000000002e-05
Cancer5,starch1200_m,1e-06
Cancer5,adocbl_m,1e-06
Cancer5,xyl_D_m,1e-06
Cancer5,mqn7_m,1.5079e-05
Cancer5,pydx_m,0.00018596430000000002
Cancer5,pydxn_m,0.00018596120000000002
Cancer5,ncam_m,7.29456e-05
Cancer5,no2_m,0.0010927292
Cancer5,gly_m,0.00012072870000000001
Cancer5,phe_L_m,0.0024578191
Cancer5,thr_L_m,0.0003515939
Cancer5,ser_L_m,0.00018025810000000001
Cancer5,ala_D_m,0.000180664
Cancer5,ala_L_m,0.00018066700000000002
Cancer5,asp_L_m,0.0003479625
Cancer5,cys_L_m,0.0001811871
Healthy8,glyc3p_m,0.0655044117
Healthy8,cytd_m,0.0710954922
Healthy8,dcyt_m,0.0768995707
Healthy8,cgly_m,0.1
Healthy8,amp_m,0.1000001747
Healthy8,nmn_m,0.09999993800000001
Healthy8,26dap_M_m,0.10000084470000001
Healthy8,orn_m,0.0999992737
Healthy8,csn_m,0.0017792449
Healthy8,acnam_m,0.0984939813
Healthy8,gam_m,0.0919454343
Healthy8,acgam_m,0.09707917640000001
Healthy8,acmana_m,0.09707919420000001
Healthy8,dgsn_m,0.056011890800000005
Healthy8,gsn_m,0.0412031161
Healthy8,metsox_S_L_m,0.0841838275
Healthy8,adn_m,0.077262913
Healthy8,dad_2_m,0.0818817434
Healthy8,ptrc_m,0.00017818990000000002
Healthy8,uri_m,1e-06
Healthy8,pi_m,0.0027993214
Healthy8,asn_L_m,0.022500000000000003
Healthy8,lys_L_m,0.015
Healthy8,gln_L_m,0.018000000000000002
Healthy8,arg_L_m,0.0150000207
Healthy8,his_L_m,0.015
Healthy8,ade_m,0.0018069476000000001
Healthy8,gua_m,0.0016900896
Healthy8,tyr_L_m,0.0047596581
Healthy8,ura_m,1e-06
Healthy8,ile_L_m,0.0096637808
Healthy8,leu_L_m,0.004727385000000001
Healthy8,trp_L_m,0.0081818382
