Agent,rew,env_step
REINFORCE,407.4857,5928960
REINFORCE,389.4891,5959680
REINFORCE,378.5658,5990400
REINFORCE,421.8988,6021120
REINFORCE,391.6838,6051840
REINFORCE,396.7111,6082560
REINFORCE,402.8608,6113280
REINFORCE,391.1558,6144000
REINFORCE,380.1508,6174720
REINFORCE,398.3499,6205440
REINFORCE,393.8231,6236160
REINFORCE,370.8872,6266880
REINFORCE,434.32,6297600
REINFORCE,377.7296,6328320
REINFORCE,375.258,6359040
REINFORCE,380.6274,6389760
REINFORCE,395.2915,6420480
REINFORCE,415.9735,6451200
REINFORCE,388.7657,6481920
REINFORCE,410.147,6512640
REINFORCE,420.5058,6543360
REINFORCE,381.8966,6574080
REINFORCE,380.0762,6604800
REINFORCE,389.8562,6635520
REINFORCE,390.21,6666240
REINFORCE,440.9279,6696960
REINFORCE,401.6778,6727680
REINFORCE,406.0223,6758400
REINFORCE,359.3388,6789120
REINFORCE,402.2027,6819840
REINFORCE,375.5144,6850560
REINFORCE,370.0802,6881280
REINFORCE,387.4542,6912000
REINFORCE,392.3885,6942720
REINFORCE,384.8551,6973440
REINFORCE,392.4603,7004160
REINFORCE,373.492,7034880
REINFORCE,369.7354,7065600
REINFORCE,398.9831,7096320
REINFORCE,366.8138,7127040
REINFORCE,385.3933,7157760
REINFORCE,363.0968,7188480
REINFORCE,364.1249,7219200
REINFORCE,386.8129,7249920
REINFORCE,361.4476,7280640
REINFORCE,367.8644,7311360
REINFORCE,372.2277,7342080
REINFORCE,383.5695,7372800
REINFORCE,376.8635,7403520
REINFORCE,364.5879,7434240
REINFORCE,368.2759,7464960
REINFORCE,381.457,7495680
REINFORCE,351.8763,7526400
REINFORCE,383.2411,7557120
REINFORCE,350.1911,7587840
REINFORCE,363.1767,7618560
REINFORCE,382.3549,7649280
REINFORCE,359.9137,7680000
REINFORCE,367.2583,7710720
REINFORCE,343.4797,7741440
REINFORCE,357.4038,7772160
REINFORCE,371.3363,7802880
REINFORCE,380.6468,7833600
REINFORCE,364.0078,7864320
REINFORCE,390.4208,7895040
REINFORCE,367.6176,7925760
REINFORCE,374.8038,7956480
REINFORCE,372.3415,7987200
REINFORCE,364.4274,8017920
REINFORCE,333.2996,8048640
REINFORCE,347.481,8079360
REINFORCE,370.4996,8110080
REINFORCE,374.8886,8140800
REINFORCE,379.4134,8171520
REINFORCE,383.0012,8202240
REINFORCE,375.0866,8232960
REINFORCE,375.1638,8263680
REINFORCE,385.6165,8294400
REINFORCE,375.2498,8325120
REINFORCE,402.2431,8355840
REINFORCE,382.6706,8386560
REINFORCE,372.3715,8417280
REINFORCE,401.3655,8448000
REINFORCE,385.1743,8478720
REINFORCE,375.3559,8509440
REINFORCE,349.357,8540160
REINFORCE,376.5432,8570880
REINFORCE,382.909,8601600
REINFORCE,377.8138,8632320
REINFORCE,383.207,8663040
REINFORCE,371.4133,8693760
REINFORCE,376.919,8724480
REINFORCE,379.47,8755200
REINFORCE,366.7001,8785920
REINFORCE,382.4882,8816640
REINFORCE,372.0743,8847360
REINFORCE,357.0979,8878080
REINFORCE,402.782,8908800
REINFORCE,383.05,8939520
REINFORCE,398.7126,8970240
REINFORCE,342.6036,9000960
REINFORCE,393.9359,9031680
REINFORCE,358.2121,9062400
REINFORCE,396.7736,9093120
REINFORCE,390.0685,9123840
REINFORCE,367.538,9154560
REINFORCE,367.0394,9185280
REINFORCE,365.089,9216000
REINFORCE,394.2243,9246720
REINFORCE,374.55,9277440
REINFORCE,349.5582,9308160
REINFORCE,370.6759,9338880
REINFORCE,386.7887,9369600
REINFORCE,374.7842,9400320
REINFORCE,382.3645,9431040
REINFORCE,359.2723,9461760
REINFORCE,411.7006,9492480
REINFORCE,381.7046,9523200
REINFORCE,395.8383,9553920
